  accident	사고, 사건
  district	구역, 지역
  direction	방향, 지도
  textile	직물, 직물의
  organ	(생물의)기관
  blood	피, 혈액
  ray	광선
  crop	농작물, 수확
  drought	가뭄
  skin	피부, (동물의) 가죽
  bone	뼈
  interest	이익, 흥미
  limit	제한, 제한하다
  haste	서두름
  bless	축복하다
  irritate	화나게 하다, 안달나게 하다
  prolong	연장하다
  postpone	연기하다
  co-operate	협력하다
  refer	언급하다, 참조하다
  permit	허가하다
  exaggerate	과장하다
  emerge	나타나다
  equip	갖추다, 장비하다
  ornament	장식(하다)
  furnish	공급하다, 비치하다
  advance	전진하다, 진보하다
  embark	베를 타다, 시작하다
  flourish	번창하다
  deprive	빼앗다
  diminish	줄어들다, 감소하다
  derive	…을 얻다, 유래하다
  exchange	교환(하다)
  rejoice	기뻐하다
  promote	촉진하다, 승진시키다
  nourish	기르다, (영양분을)주다
  inquire	묻다, 안부를 묻다
  ascertain	확인하다
  swear	맹세하다
  celebrate	축하하다
  marvel	놀라다, 경탄(할 만한 일)
  pray	빌다
  reflect	반사하다, 반영하다
  ascend	올라가다
  descend	내려오다
  mention	말핟
  quote	인용하다
  occupy	차지하다, 종사하다
  surround	둘러싸다
  avail	쓸모 있다, 소용되다
  preach	설교하다
  retire	물러나다, 은퇴하다
  argue	논하다, 설득하다
  graduate	졸업하다, 졸업생
  affect	영향을 주다
  unify	통일하다
  operate	움직이다, 운영하다
  ccondemn	비난하다
  praise	칭찬하다, 칭찬
  forgive	용서하다
  deserve	…할 가치가 있다.
  correspond	일치하다
  explore	탐험하다
  recollect	회상하다
  fascinate	매혹하다
  stir	휘젓다, 움직이다
  exploit	개발하다, 이용하다, 공훈, 위업
  contradict	반박하다, 모순되다
  develop	발달하다, 개발하다
  approach	접근하다, 접근
  emancipate	해방하다
  classify	분류하다
  represent	나타내다, 묘사하다
  reduce	줄이다
  wither	시들다, 말라 죽다
  astonish	놀라게 하다
  commit	맡기다, 범하다
  claim	요구(하다), 주장(하다)
  seclude	은퇴시키다
  appoint	임명하다, 지정하다
  animate	활기를 주다, 고무하다
  apply	적용하다, 전념하다
  disappoint	실망시키다
  trespass	침해하다
  decide	결정하다, 결심하다
  afford	주다, …할 여우가 있다
  compete	경쟁하다
  perceive	지각하다, 이해하다
  enchant	매혹시키다
  consider	숙고하다
  transform	변형하다
  amaze	몹시 놀라게 하다
  expose	드러내다, 폭로하다
  penetrate	꿰뚫다, 간파하다
  extend	넓히다, 뻗치다
  reside	살다, 존재하다
  confine	가두다, 경계, 한도
  exhibit	보이다, 전시하다
  extract	뽑다, 추출물, 발췌
  imply	의미하다, 암시하다
  determine	결정하다
  indicate	지시하다, 나타내다
  confront	직면하다
  pierce	꿰뚫다, 간파하다
  dread	두려워하다
  foster	기르다, (성장을) 촉진하다
  cease	끝내다, 중지하다
  convey	나르다, 전하다
  rescue	구하다
  dismiss	해고하다, 해산하다
  disturb	방해하다
  incline	기울이다
  languish	원기가 없어지다, 시들다
  illustrate	예증하다, 설명하다
  excel	(남보다) 낫다
  mold	틀에 넣어 만들다
  taint	더럽히다
  discharge	수행하다, 면제하다
  exceed	넘다, 능가하다
  usher	안내하다, 수위
  owe	힘입다
  heed	주의하다, 주의
  resemble	…을 닮다
  compose	구성하다
  refrain	…을 그만두다
  relax	늦추다, 쉬다
  subscribe	서명하다, 기부하다
  interfere	간섭하다, 방해하다
  share	분배하다, 분담하다
  injure	해치다
  depend	…에 의존하다
  disperse	퍼뜨리다, 흩어지다
  remove	이사하다, 제거하다
  realize	깨닫다, 실현하다
  cultivate	경작하다, 기르다
  sum	합계하다, 요약하다
  throng	떼지어 모이다
  scatter	뿌리다
  modify	변경하다, 수식하다
  intoxicate	취하게 하다
  offend	화나게 하다, 범하다
  associate	교제하다, 연상하다
  behold	보다
  mingle	섞다
  venture	감히 …하다
  invert	…을 거꾸로 하다
  collect	모으다, 수집하다
  complain	불평하다
  spoil	망치다, 손상하다
  mock	비웃다
  recall	상기하다, 소환하다
  reproduce	재생하다, 번식하다
  assemble	모이다
  retreat	물러가다, 후퇴
  punish	처벌하다
  settle	정착하다, 해결하다
  conceive	상상하다, 품다
  disclose	드러내다, 폭로(적발)하다
  repair	수리(하다)
  repeat	되풀이하다
  degrade	타락하다
  amuse	재미나게 하다
  obtain	얻다
  inform	알리다
  curse	저주하다, 저주
  provide	…을 주다, 준비하다
  refresh	상쾌하게 하다
  manage	관리하다
  confess	자백하다, 자인하다
  demonstrate	증명하다, 시위하다
  stoop	(몸을) 구부리다
  profess	공언하다
  fade	(색이) 바래다, 시들다
  manufacture	제조(하다), 제품
  appeal	호소하다, 간청하다
  contend	다투다
  publish	출판하다, 발표하다
  interpret	통역하다
  entitle	권리(자격)을 주다
  disregard	무시하다
  ascribe	(원인을) …으로 돌리다
  astound	깜짝 놀라게 하다
  protect	보호하다
  accomodate	수용하다
  progress	진행, 진보
  overtake	…을 뒤따라 잡다, 덮치다
  assist	돕다
  advocate	변호하다, 주장하다
  attempt	시도하다
  partake	…에 관여하다
  greet	인사하다
  suggest	암시하다, 제안하다
  waste	낭비하다
  dissolve	…을 녹이다
  oblige	강요하다, 고맙게 여기다
  decline	기울다, 쇠퇴하다
  accustom	익히다, 습관을 붙이다
  defeat	패배시키다
  tempt	유혹하다
  exempt	면제하다, 면제된
  induce	권유하다
  oppress	압박하다
  acquaint	알리다
 impoverish	가난하게 하다
  resent	분개하다
  abuse	남용하다, 학대하다
  bother	괼보히다, 걱정하다
  shrink	줄다, 오그라들다
  compel	억지로 …시키다
  deliver	배달하다, 연설하다
  register	등록하다
  coincide	일치하다, 부합하다
  complicate	복잡하게 하다
  discern	분간하다, 식별하다
  dispute	논쟁(하다)
  remark	말하다, 주목하다
  supplement	보충(하다)
  debate	논쟁(하다)
  humiliate	창피를 주다, 모욕하다
  explode	폭발하다
  narrate	이야기하다
  administer	관리하다, 시행하다
  haunt	자주 가다
  dispense	나눠 주다, …없이 지내다
  differ	다르다
  eliminate	제거하다
  dwell	살다, 거주하다
