id,word_id,word,language,pronunciation
0199d457-145d-70ba-557c-6caa10526b23,01992796-092e-7087-ca5e-7942e2a388c0,into,us,ˈɪntuː
0199d457-1499-706b-b236-fa425affeb9b,01992796-092e-7087-ca5e-7942e2a388c0,into,gb,ˈɪntə
0199d457-1545-70f3-c810-f6a0405d144f,0199277f-9508-704f-5ce2-54ff020b34e4,two,us,tuː
0199d457-1579-704d-9606-5fc9d1bb33ce,0199277f-9508-704f-5ce2-54ff020b34e4,two,gb,tuː
0199d457-1677-7035-3464-5b9dfe22b009,01992798-998a-70ca-a0c5-f88acb5756a6,billion,us,ˈbɪljən
0199d457-16b5-701d-7905-ad56a5372412,01992798-998a-70ca-a0c5-f88acb5756a6,billion,gb,ˈbɪljən
0199d457-175b-7012-400c-7d4e0d5997e6,0199277f-5db7-70a3-58d0-0ac1a9082fd2,man,us,mæn
0199d457-1793-70bd-fdba-ad33fb4b87c5,0199277f-5db7-70a3-58d0-0ac1a9082fd2,man,gb,mæn
0199d457-182f-7012-8359-35fe5ac7d4d2,01992796-38ed-70b4-d50d-c3a9051c802c,time,us,taɪm
0199d457-185d-709c-961e-d1be42108c8e,01992796-38ed-70b4-d50d-c3a9051c802c,time,gb,taɪm
0199d457-18e6-70f2-ecc8-22533c303da2,01992796-c662-705b-8791-408f0b8a9137,other,us,ˈʌðər
0199d457-1918-7072-5659-bb9ee5a17564,01992796-c662-705b-8791-408f0b8a9137,other,gb,ˈʌðə
0199d457-19f0-70f3-641a-565fdc2f5726,0199277f-09bc-70b4-5bab-465e05ffeca0,re,us,ɑːr iː
0199d457-1a38-70ba-2fc0-35c640efecd0,0199277f-09bc-70b4-5bab-465e05ffeca0,re,gb,ɑːr iː
0199d457-1b0c-70a2-e592-2d2d5a3b19cc,01992796-1e93-70c4-2983-15e1271e214d,only,us,ˈoʊnli
0199d457-1b4d-70b3-1b6d-d2d2a6ca00a0,01992796-1e93-70c4-2983-15e1271e214d,only,gb,ˈəʊnli
0199d457-1c19-70a3-d957-28c14f497fa2,01992796-1fba-7027-2a5b-4c6c38d47beb,over,us,ˈoʊvər
0199d457-1c52-70ae-7f70-b74123eb3030,01992796-1fba-7027-2a5b-4c6c38d47beb,over,gb,ˈəʊvə
0199d457-1cfa-709e-f0d8-6a89719bb6ba,01992796-0f73-703a-6c6e-e52c2f697e3e,last,us,læst
0199d457-1d38-7083-5f52-808a3157209f,01992796-0f73-703a-6c6e-e52c2f697e3e,last,gb,lɑːst
0199d457-1de4-702b-71b5-36f21595aa96,01992782-5179-7006-5dc1-ae22a1bed5f0,good,us,ɡʊd
0199d457-1e53-70ee-e5ae-b78d9a5af8ca,01992782-5179-7006-5dc1-ae22a1bed5f0,good,gb,ɡʊd
0199d457-1ee2-7060-dd35-6f8e7ab728a2,0199277f-6815-70f7-9813-96b8d4fd7658,now,us,naʊ
0199d457-1f13-70b1-91c2-1834ba09fdd9,0199277f-6815-70f7-9813-96b8d4fd7658,now,gb,naʊ
0199d457-1fa5-7096-4fcb-0bd712d3eb20,01992798-c98a-7043-f1eb-c5192e9d87cd,company,us,ˈkʌmpəni
0199d457-1fed-70dd-f42c-0288a088c958,01992798-c98a-7043-f1eb-c5192e9d87cd,company,gb,ˈkʌmpəni
0199d457-2089-7001-4c78-77ec3545bde0,01992796-137b-7027-d5b3-01eea4692067,loss,us,lɔːs
0199d457-20b8-702b-3792-3657135a8baa,01992796-137b-7027-d5b3-01eea4692067,loss,gb,lɒs
0199d457-2156-70a6-d63b-a89902403b67,0199277f-13cb-704d-0120-9db19e043c1f,any,us,ˈɛni
0199d457-2189-7051-62f7-ae7f75ca9485,0199277f-13cb-704d-0120-9db19e043c1f,any,gb,ˈɛni
0199d457-2227-7088-e5e1-b5e868515ddf,01992780-5b3c-7073-1a28-7bf24891fe44,down,us,daʊn
0199d457-225a-7046-c1f3-7b905e26a3c1,01992780-5b3c-7073-1a28-7bf24891fe44,down,gb,daʊn
0199d457-22fb-7040-2d24-2c6fa7f7e07b,0199277f-0063-70e8-b0ba-91a99b0c6dfe,go,us,ɡoʊ
0199d457-2327-70c8-7800-98f80f67d4f1,0199277f-0063-70e8-b0ba-91a99b0c6dfe,go,gb,ɡəʊ
0199d457-23bd-7016-35c6-40efebcb38b6,01992796-8109-7095-17b6-4b54c2cfc671,first,us,fɜːrst
0199d457-23f2-70e7-5f2a-b50a13410d80,01992796-8109-7095-17b6-4b54c2cfc671,first,gb,fɜːst
0199d457-248c-70c6-6fda-f53d52e2749f,01992796-424b-707c-71c0-6cdf15cdc570,work,us,wɜːrk
0199d457-24b7-70bf-e021-09c8cdacf4c1,01992796-424b-707c-71c0-6cdf15cdc570,work,gb,wɜːk
0199d457-258d-70fe-cc04-b26e1006ef98,0199277f-b175-7002-4967-28946e69c396,also,us,ˈɔːlsoʊ
0199d457-25bc-702c-15e7-45a5681a4923,0199277f-b175-7002-4967-28946e69c396,also,gb,ˈɔːlsəʊ
0199d457-267d-7032-3679-bb3f0768f592,01992796-202f-7067-c8b0-1c7a10e2397a,page,us,peɪdʒ
0199d457-26c2-70fc-3514-c7a9f9e078ba,01992796-202f-7067-c8b0-1c7a10e2397a,page,gb,peɪdʒ
0199d457-27d2-7071-ef55-de5820969112,01992796-3855-7057-a73f-48ac8288210f,then,us,ðɛn
0199d457-2810-70a6-093b-0d91afb88a8e,01992796-3855-7057-a73f-48ac8288210f,then,gb,ðen
0199d457-28b2-709d-7677-f150bdc29398,01992796-1ed1-7033-2c45-d24f14781a1d,open,us,ˈoʊpən
0199d457-28fa-7041-7eb4-081035daa5aa,01992796-1ed1-7033-2c45-d24f14781a1d,open,gb,ˈəʊpən
0199d457-29bc-7070-524d-89c953455f0b,01992796-3d5c-70d3-f03a-51ea9d53cbfd,very,us,ˈvɛri
0199d457-29e7-701e-72e3-1ad9ef1fd1b9,01992796-3d5c-70d3-f03a-51ea9d53cbfd,very,gb,ˈvɛri
0199d457-2a77-70f8-ecb2-b9887cd4b2fc,01992796-fea5-7091-2d30-6a83500a4025,think,us,θɪŋk
0199d457-2aa7-70d9-47d9-69824f0737ff,01992796-fea5-7091-2d30-6a83500a4025,think,gb,θɪŋk
0199d457-2b4d-707b-39aa-a94e8cd174d0,01992798-669b-70bd-5d9b-f2e8b1bfa80c,window,us,ˈwɪndoʊ
0199d457-2b7f-70b3-1343-19b53e17b853,01992798-669b-70bd-5d9b-f2e8b1bfa80c,window,gb,ˈwɪndəʊ
0199d457-2c1c-706b-f483-b4fcd01e245d,01992796-daaa-702c-e3ee-fb1d9fc705c4,right,us,raɪt
0199d457-2c47-7064-dd26-285840395c21,01992796-daaa-702c-e3ee-fb1d9fc705c4,right,gb,raɪt
0199d457-2d22-7085-9559-fff1b8c7b949,0199277f-c546-70f3-c4f9-95fd31006f2a,back,us,bæk
0199d457-2d69-7044-7b98-89e5e0b3dc36,0199277f-c546-70f3-c4f9-95fd31006f2a,back,gb,bæk
0199d457-2e18-70d2-aef1-ac88a5a33e4e,01992797-f1ca-709a-1cbf-68cbbf5d92c2,people,us,ˈpiːpl
0199d457-2e51-70cc-12f5-960f8982f12d,01992797-f1ca-709a-1cbf-68cbbf5d92c2,people,gb,ˈpiːpl
0199d457-2ef6-70e6-f208-5282956434d8,0199277f-92ca-70b6-3f18-be6eeb4cbfd5,too,us,tuː
0199d457-2f2b-709c-87d0-7af455cd05b1,0199277f-92ca-70b6-3f18-be6eeb4cbfd5,too,gb,tuː
0199d457-2fc0-708e-7189-5c30dec542f9,0199277f-84c4-7056-9c0b-63cedff118a5,see,us,siː
0199d457-2ffd-7018-8c76-aaf1b9c9c47a,0199277f-84c4-7056-9c0b-63cedff118a5,see,gb,siː
0199d457-30da-7044-55de-581e8f728c65,01992798-9224-7052-97fd-2eee1cc47f30,because,us,bɪˈkɔːz
0199d457-3115-7058-88a1-8cd99b7da1b0,01992798-9224-7052-97fd-2eee1cc47f30,because,gb,bɪˈkɒz
0199d457-31ba-7002-6e1f-513a3145c610,0199277f-6a67-70aa-d83a-9a56e05e36f4,off,us,ɔːf
0199d457-31f3-70ff-ccfe-92e2b5e147c3,0199277f-6a67-70aa-d83a-9a56e05e36f4,off,gb,ɒf
0199d457-32ab-70e4-77a9-e580d29a8beb,01992780-7ec1-70fa-1061-b7700ceb768e,even,us,ˈiːvən
0199d457-32e1-70f5-094d-6a288c44b2ad,01992780-7ec1-70fa-1061-b7700ceb768e,even,gb,ˈiːvən
